Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Alberta,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",133140,116615,16530
Alberta,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,12265,10265,2005
Alberta,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",104815,83250,21565
Alberta,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",44275,27245,17025
Alberta,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Alberta,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",44270,27250,17025
Alberta,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,4645,3140,1500
Alberta,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",20000,12850,7150
Alberta,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,2850,1620,1235
Alberta,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",16775,9640,7140
Alberta,  Health and related fields,"Total - Highest certificate, diploma or degree",270920,51215,219705
Alberta,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Alberta,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,  Health and related fields,"  Postsecondary certificate, diploma or degree",270920,51220,219700
Alberta,  Health and related fields,    Apprenticeship or trades certificate or diploma,15885,2270,13620
Alberta,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",128600,14950,113650
Alberta,  Health and related fields,    University certificate or diploma below bachelor level,20500,3500,17005
Alberta,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",105925,30495,75430
Alberta,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",95140,45725,49415
Alberta,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Alberta,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",95140,45725,49415
Alberta,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,52425,22850,29575
Alberta,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",37310,19170,18140
Alberta,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,2315,1610,700
Alberta,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",3090,2090,995
Alberta,  Other fields of study,"Total - Highest certificate, diploma or degree",150,55,95
Alberta,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Alberta,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Alberta,  Other fields of study,"  Postsecondary certificate, diploma or degree",150,60,95
Alberta,  Other fields of study,    Apprenticeship or trades certificate or diploma,25,10,20
Alberta,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",10,0,0
Alberta,  Other fields of study,    University certificate or diploma below bachelor level,0,0,0
Alberta,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",120,40,80
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",3870375,1882770,1987610
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",601640,305325,296320
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,1138565,549580,588985
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",2130175,1027865,1102305
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,338985,250265,88720
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",700945,280300,420640
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,138010,54420,83590
British Columbia / Colombie-Britannique,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",952240,442885,509355
British Columbia / Colombie-Britannique,  Education,"Total - Highest certificate, diploma or degree",144100,34910,109185
British Columbia / Colombie-Britannique,  Education,"  No certificate, diploma or degree",0,0,0
British Columbia / Colombie-Britannique,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
British Columbia / Colombie-Britannique,  Education,"  Postsecondary certificate, diploma or degree",144100,34910,109190
British Columbia / Colombie-Britannique,  Education,    Apprenticeship or trades certificate or diploma,1330,370,955
British Columbia / Colombie-Britannique,  Education,"    College, CEGEP or other non-university certificate or diploma",20975,2435,18535
British Columbia / Colombie-Britannique,  Education,    University certificate or diploma below bachelor level,13575,1850,11725
British Columbia / Colombie-Britannique,  Education,"    University certificate, diploma or degree at bachelor level or above",108225,30255,77970
British Columbia / Colombie-Britannique,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",98740,44465,54275
British Columbia / Colombie-Britannique,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
British Columbia / Colombie-Britannique,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
